LINEA,ESTACION,DESDE,TOTAL,X,Y
LINEA_A,ACOYTE,2017-05-23 19:00:00,185.849420849,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 19:15:00,164.328185328,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 19:30:00,146.791505792,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 19:45:00,136.239382239,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 20:00:00,165.637065637,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 20:15:00,141.274131274,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 20:30:00,121.030888031,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 20:45:00,98.5153846154,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 21:00:00,101.561538462,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 21:15:00,74.9538461538,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 21:30:00,63.3436293436,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 21:45:00,54.2038461538,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 22:00:00,52.7423076923,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 22:15:00,35.9147286822,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 22:30:00,11.9338521401,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 22:45:00,2.4898989899,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 23:00:00,1.42857142857,-58.4364285288,-34.6182799671
LINEA_A,ALBERTI,2017-05-23 05:00:00,2.13302752294,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 05:15:00,2.52153110048,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 05:30:00,3.39565217391,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 05:45:00,4.85892116183,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 06:00:00,6.18518518519,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 06:15:00,9.01646090535,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 06:30:00,14.0288065844,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 06:45:00,14.6131687243,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 07:00:00,28.9102040816,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 07:15:00,34.6032388664,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 07:30:00,42.4959349593,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 07:45:00,41.2834645669,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 08:00:00,36.2239382239,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 08:15:00,42.3410852713,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 08:30:00,48.8494208494,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 08:45:00,42.9150579151,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 09:00:00,39.1937984496,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 09:15:00,38.7567567568,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 09:30:00,45.1782945736,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 09:45:00,47.1923076923,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 10:00:00,48.0579150579,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 10:15:00,53.7248062016,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 10:30:00,53.7683397683,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 10:45:00,56.9728682171,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 11:00:00,63.8333333333,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 11:15:00,68.6061776062,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 11:30:00,74.4131274131,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 11:45:00,75.7799227799,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 12:00:00,80.1192307692,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 12:15:00,84.2972972973,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 12:30:00,84.2911877395,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 12:45:00,80.0115384615,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 13:00:00,88.7923076923,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 13:15:00,85.9384615385,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 13:30:00,87.0615384615,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 13:45:00,82.8884615385,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 14:00:00,99.2192307692,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 14:15:00,91.2269230769,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 14:30:00,87.75,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 14:45:00,85.0346153846,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 15:00:00,95.9192307692,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 15:15:00,97.0692307692,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 15:30:00,103.153846154,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 15:45:00,108.846153846,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 16:00:00,114.423076923,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 16:15:00,108.069230769,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 16:30:00,97.7115384615,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 16:45:00,92.9305019305,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 17:00:00,113.297297297,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 17:15:00,102.308880309,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 17:30:00,92.749034749,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 17:45:00,92.0888030888,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 18:00:00,120.459459459,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 18:15:00,107.293436293,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 18:30:00,101.127413127,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 18:45:00,89.6833976834,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 19:00:00,94.3307692308,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 19:15:00,86.7346153846,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 19:30:00,80.6988416988,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 19:45:00,72.8146718147,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 20:00:00,93.75,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 20:15:00,81.2307692308,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 20:30:00,71.2115384615,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 20:45:00,58.6538461538,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 21:00:00,62.0542635659,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 21:15:00,46.4787644788,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 21:30:00,36.0386100386,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 21:45:00,30.0038461538,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 22:00:00,30.3307692308,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 22:15:00,17.9305019305,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 22:30:00,11.7644787645,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 22:45:00,5.36974789916,-58.4012075342,-34.6098335784
LINEA_A,ALBERTI,2017-05-23 23:00:00,1.0,-58.4012075342,-34.6098335784
LINEA_A,CARABOBO,2017-05-23 05:00:00,6.15637860082,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 05:15:00,7.64462809917,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 05:30:00,12.2581967213,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 05:45:00,15.8770491803,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 06:00:00,35.356557377,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 06:15:00,47.8647540984,-58.4567097975,-34.6266665932
