LINEA,ESTACION,DESDE,TOTAL
LINEA_A,ALBERTI,13:00:00,88.7923076923
LINEA_A,ALBERTI,13:15:00,85.9384615385
LINEA_A,ALBERTI,13:30:00,87.0615384615
LINEA_A,ALBERTI,13:45:00,82.8884615385
LINEA_A,ALBERTI,14:00:00,99.2192307692
LINEA_A,ALBERTI,14:15:00,91.2269230769
LINEA_A,ALBERTI,14:30:00,87.75
LINEA_A,ALBERTI,14:45:00,85.0346153846
LINEA_A,ALBERTI,15:00:00,95.9192307692
LINEA_A,ALBERTI,15:15:00,97.0692307692
LINEA_A,ALBERTI,15:30:00,103.153846154
LINEA_A,ALBERTI,15:45:00,108.846153846
LINEA_A,ALBERTI,16:00:00,114.423076923
LINEA_A,ALBERTI,16:15:00,108.069230769
LINEA_A,ALBERTI,16:30:00,97.7115384615
LINEA_A,ALBERTI,16:45:00,92.9305019305
LINEA_A,ALBERTI,17:00:00,113.297297297
LINEA_A,ALBERTI,17:15:00,102.308880309
LINEA_A,ALBERTI,17:30:00,92.749034749
LINEA_A,ALBERTI,17:45:00,92.0888030888
LINEA_A,ALBERTI,18:00:00,120.459459459
LINEA_A,ALBERTI,18:15:00,107.293436293
LINEA_A,ALBERTI,18:30:00,101.127413127
LINEA_A,ALBERTI,18:45:00,89.6833976834
LINEA_A,ALBERTI,19:00:00,94.3307692308
LINEA_A,ALBERTI,19:15:00,86.7346153846
LINEA_A,ALBERTI,19:30:00,80.6988416988
LINEA_A,ALBERTI,19:45:00,72.8146718147
LINEA_A,ALBERTI,20:00:00,93.75
LINEA_A,ALBERTI,20:15:00,81.2307692308
LINEA_A,ALBERTI,20:30:00,71.2115384615
LINEA_A,ALBERTI,20:45:00,58.6538461538
LINEA_A,ALBERTI,21:00:00,62.0542635659
LINEA_A,ALBERTI,21:15:00,46.4787644788
LINEA_A,ALBERTI,21:30:00,36.0386100386
LINEA_A,ALBERTI,21:45:00,30.0038461538
LINEA_A,ALBERTI,22:00:00,30.3307692308
LINEA_A,ALBERTI,22:15:00,17.9305019305
LINEA_A,ALBERTI,22:30:00,11.7644787645
LINEA_A,ALBERTI,22:45:00,5.36974789916
LINEA_A,ALBERTI,23:00:00,1.0
LINEA_A,CARABOBO,05:00:00,6.15637860082
LINEA_A,CARABOBO,05:15:00,7.64462809917
LINEA_A,CARABOBO,05:30:00,12.2581967213
LINEA_A,CARABOBO,05:45:00,15.8770491803
LINEA_A,CARABOBO,06:00:00,35.356557377
LINEA_A,CARABOBO,06:15:00,47.8647540984
LINEA_A,CARABOBO,06:30:00,66.3483606557
LINEA_A,CARABOBO,06:45:00,112.918032787
LINEA_A,CARABOBO,07:00:00,196.32244898
LINEA_A,CARABOBO,07:15:00,270.408163265
LINEA_A,CARABOBO,07:30:00,302.947154472
LINEA_A,CARABOBO,07:45:00,321.829457364
LINEA_A,CARABOBO,08:00:00,403.505791506
LINEA_A,CARABOBO,08:15:00,474.648648649
LINEA_A,CARABOBO,08:30:00,449.803088803
LINEA_A,CARABOBO,08:45:00,386.857142857
LINEA_A,CARABOBO,09:00:00,349.266409266
LINEA_A,CARABOBO,09:15:00,339.50965251
LINEA_A,CARABOBO,09:30:00,289.953488372
LINEA_A,CARABOBO,09:45:00,231.104247104
LINEA_A,CARABOBO,10:00:00,211.370656371
LINEA_A,CARABOBO,10:15:00,202.015503876
LINEA_A,CARABOBO,10:30:00,185.725868726
LINEA_A,CARABOBO,10:45:00,171.277992278
LINEA_A,CARABOBO,11:00:00,165.984555985
LINEA_A,CARABOBO,11:15:00,168.722007722
LINEA_A,CARABOBO,11:30:00,165.316602317
LINEA_A,CARABOBO,11:45:00,156.355212355
LINEA_A,CARABOBO,12:00:00,167.567567568
LINEA_A,CARABOBO,12:15:00,173.274131274
LINEA_A,CARABOBO,12:30:00,168.420849421
LINEA_A,CARABOBO,12:45:00,165.517374517
LINEA_A,CARABOBO,13:00:00,181.683397683
LINEA_A,CARABOBO,13:15:00,182.204633205
LINEA_A,CARABOBO,13:30:00,166.11969112
LINEA_A,CARABOBO,13:45:00,148.446153846
LINEA_A,CARABOBO,14:00:00,155.469230769
LINEA_A,CARABOBO,14:15:00,154.1
LINEA_A,CARABOBO,14:30:00,149.096153846
LINEA_A,CARABOBO,14:45:00,128.1
LINEA_A,CARABOBO,15:00:00,136.003846154
LINEA_A,CARABOBO,15:15:00,135.323076923
LINEA_A,CARABOBO,15:30:00,133.208494208
LINEA_A,CARABOBO,15:45:00,127.15
LINEA_A,CARABOBO,16:00:00,142.669230769
LINEA_A,CARABOBO,16:15:00,147.076923077
LINEA_A,CARABOBO,16:30:00,149.780769231
LINEA_A,CARABOBO,16:45:00,160.930769231
LINEA_A,CARABOBO,17:00:00,181.584615385
LINEA_A,CARABOBO,17:15:00,176.45
LINEA_A,CARABOBO,17:30:00,178.446153846
LINEA_A,CARABOBO,17:45:00,154.942307692
LINEA_A,CARABOBO,18:00:00,175.907692308
LINEA_A,CARABOBO,18:15:00,160.238461538
LINEA_A,CARABOBO,18:30:00,133.915384615
LINEA_A,CARABOBO,18:45:00,116.611538462
LINEA_A,CARABOBO,19:00:00,117.546153846
LINEA_A,CARABOBO,19:15:00,106.242307692
LINEA_A,CARABOBO,19:30:00,96.4787644788
LINEA_A,CARABOBO,19:45:00,85.6153846154
LINEA_A,CARABOBO,20:00:00,98.2115384615
LINEA_A,CARABOBO,20:15:00,84.7576923077
LINEA_A,CARABOBO,20:30:00,76.4555984556
LINEA_A,CARABOBO,20:45:00,60.9224806202
LINEA_A,CARABOBO,21:00:00,60.9341085271
LINEA_A,CARABOBO,21:15:00,48.0540540541
